table_schema,table_name,column_name,data_type,is_nullable
analysis,sa2_scores,sa2_code21,text,NO
analysis,sa2_scores,sa4_name21,text,YES
analysis,sa2_scores,z_business,numeric,YES
analysis,sa2_scores,z_stops,numeric,YES
analysis,sa2_scores,z_poi,numeric,YES
analysis,sa2_scores,z_schools,numeric,YES
analysis,sa2_scores,z_total,numeric,YES
analysis,sa2_scores,score,numeric,YES
analysis,vw_metric_business,sa2_code21,text,YES
analysis,vw_metric_business,biz_per_1k,numeric,YES
analysis,vw_metric_poi,sa2_code21,text,YES
analysis,vw_metric_poi,poi_raw,numeric,YES
analysis,vw_metric_schools,sa2_code21,text,YES
analysis,vw_metric_schools,schools_per_1k_youth,numeric,YES
analysis,vw_metric_stops,sa2_code21,text,YES
analysis,vw_metric_stops,stops_raw,numeric,YES
analysis,vw_sa2_metrics,sa2_code21,text,YES
analysis,vw_sa2_metrics,business,numeric,YES
analysis,vw_sa2_metrics,stops,numeric,YES
analysis,vw_sa2_metrics,poi,numeric,YES
analysis,vw_sa2_metrics,schools,numeric,YES
analysis,vw_sa2_metrics,total_people,integer,YES
raw,businesses,industry_code,text,YES
raw,businesses,industry_name,text,NO
raw,businesses,sa2_code,text,NO
raw,businesses,sa2_name,text,YES
raw,businesses,0_to_50k_businesses,text,YES
raw,businesses,50k_to_200k_businesses,text,YES
raw,businesses,200k_to_2m_businesses,text,YES
raw,businesses,2m_to_5m_businesses,text,YES
raw,businesses,5m_to_10m_businesses,text,YES
raw,businesses,10m_or_more_businesses,text,YES
raw,businesses,total_businesses,integer,YES
raw,businesses_my,industry_code,text,YES
raw,businesses_my,industry_name,text,NO
raw,businesses_my,sa2_code,text,YES
raw,businesses_my,sa2_name,text,YES
raw,businesses_my,0_to_50k_businesses,text,YES
raw,businesses_my,50k_to_200k_businesses,text,YES
raw,businesses_my,200k_to_2m_businesses,text,YES
raw,businesses_my,2m_to_5m_businesses,text,YES
raw,businesses_my,5m_to_10m_businesses,text,YES
raw,businesses_my,10m_or_more_businesses,text,YES
raw,businesses_my,total_businesses,integer,YES
raw,businesses_my,sa2_code21,text,NO
raw,catchments_primary,USE_ID,text,YES
raw,catchments_primary,CATCH_TYPE,text,YES
raw,catchments_primary,USE_DESC,text,YES
raw,catchments_primary,ADD_DATE,text,YES
raw,catchments_primary,KINDERGART,text,YES
raw,catchments_primary,YEAR1,text,YES
raw,catchments_primary,YEAR2,text,YES
